Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R1","R_US","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",52.5000,-79.5000,90.0000,top
"R2","R_US","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",53.0000,-52.0000,90.0000,top
