"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","10u1","~","C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"D1,D2,D3,D4,D5,D6","LED","~","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","6",""
"J1","Conn_01x08_Pin","~","PinHeader_1x08_P2.54mm_Horizontal","1",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","10k","~","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12",""
"R13,R14,R15,R16,R17,R18","1k","~","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6","TCRT5000","","OPTO_TCRT5000","6",""
"U1","74HC14DR2G","","DIP-14_W7.62mm_Socket","1",""
