"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","lib_footprint_issues","Footprint 'TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical' not found in library 'Package_TO_SOT_THT'.","@(63.08 mm, 75.35 mm): Footprint U1"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'PinHeader_1x07_P2.54mm_Vertical' does not match copy in library 'Connector_PinHeader_2.54mm'.","@(109.0 mm, 76.625 mm): Footprint J1"
